timestamp,temperature,condition,wind_speed
2025-09-27 13:40:30,29.62,scattered clouds,6.79
jabalpur,2025-09-27 13:45:58,28.79,broken clouds,6.94
rewa,2025-09-27 13:46:11,30.74,broken clouds,8.42
